equipo|pID|nombre|precio
chandales-ninos-chaqueta|29805|Marseilles 25-26 Ninos Chaqueta E25240|43.50
chandales-ninos-chaqueta|29790|Espana 26-27 Ninos Chaqueta y Pants E26022|43.50
chandales-ninos-chaqueta|29703|Italia 25-26 Ninos Chaqueta y Pants E26019|43.50
chandales-ninos-chaqueta|29671|Marseille 2025-26 Ninos Chaqueta y Pants E25233|44.50
chandales-ninos-chaqueta|29670|Manchester City 25-26 Ninos Chaqueta E25238|43.50
chandales-nlke-chaqueta|24316|23-24 Hoodie Chaqueta Con Pants F491|54.00
chandales-nlke-chaqueta|24317|23-24 Hoodie Chaqueta Con Pants F492|54.00
chandales-nlke-chaqueta|24314|23-24 Hoodie Chaqueta Con Pants F490|54.00
chandales-nlke-chaqueta|24315|23-24 Hoodie Chaqueta Con Pants F489|54.00
chandales-nlke-chaqueta|24312|23-24 Hoodie Chaqueta Con Pants F487|54.00
chandales-nlke-chaqueta|24313|23-24 Hoodie Chaqueta Con Pants F488|54.00
chandales-nlke-chaqueta|24309|23-24 Hoodie Chaqueta Con Pants F486|54.00
chandales-nlke-chaqueta|24310|23-24 Hoodie Chaqueta Con Pants F485|54.00
chandales-nlke-chaqueta|24311|23-24 Hoodie Chaqueta Con Pants F459|54.00
chandales-nlke-chaqueta|23527|23-24 Hoodie Chaqueta Con Pants F484|54.00
chandales-nlke-chaqueta|23526|23-24 Hoodie Chaqueta Con Pants F482|54.00
chandales-nlke-chaqueta|23524|23-24 Hoodie Chaqueta Con Pants F483|54.00
chandales-nlke-chaqueta|23525|23-24 Hoodie Chaqueta Con Pants F481|54.00
chandales-nlke-chaqueta|23522|23-24 Hoodie Chaqueta Con Pants F473|54.00
chandales-nlke-chaqueta|23523|23-24 Hoodie Chaqueta Con Pants F478|54.00
chandales-polo-de-futbol|30283|Real Madrid 26-27 Polo y Shorts C2607|18.50
chandales-polo-de-futbol|30284|Flamengo 26-27 Polo y Shorts C2605|18.50
chandales-polo-de-futbol|30285|Inter Miami- 26-27 Polo y Shorts C2608|18.50
chandales-polo-de-futbol|30282|Espana 26-27 Polo y Shorts C2609|18.50
chandales-polo-de-futbol|30281|Flamengo 26-27 Polo y Shorts C2604|18.50
chandales-polo-de-futbol|30280|Cruzeiro 26-27 Polo y Shorts C2606|18.50
chandales-polo-de-futbol|30279|Cruzeiro 26-27 Polo y Shorts C2603|18.50
chandales-polo-de-futbol|30278|Argentina 26-27 Polo y Shorts C2602|18.50
chandales-polo-de-futbol|29513|Bar,celona 25-26 Polo C2571|18.50
chandales-polo-de-futbol|29397|Bar celona 24-25 Polo C2571|18.50
chandales-polo-de-futbol|29358|PSG 25-26 Polo C2569|18.50
chandales-polo-de-futbol|29361|Arsenal 25-26 Polo C2570|18.50
chandales-polo-de-futbol|29227|Arsenal 25-26 Polo C2566|18.50
chandales-polo-de-futbol|29225|Ajax 25-26 Polo C2565|18.50
chandales-polo-de-futbol|29226|Juventus 25-26 Polo C2564|18.50
chandales-tshirt|27245|Adi das 25-26 T-Shirt Rojo|17.90
chandales-tshirt|27246|Adi das 25-26 T-Shirt Blanco|17.90
chandales-tshirt|27247|Adi das 25-26 T-Shirt Negro|17.90
chandales-tshirt|27248|Adi das 25-26 T-Shirt Rosa|17.90
chandales-tshirt|27244|Adi das 25-26 T-Shirt Naranja|17.90
chandales-tshirt|21044|Adi das 25-26 T-Shirt Azul|17.90
chandales-vest-de-futbol|30303|PSG 2026-27 Vest D26027|17.90
chandales-vest-de-futbol|30300|Real Madrid 2026-27 Vest D26019|17.90
chandales-vest-de-futbol|30299|Inter Miami 2026-27 Vest D26020|17.90
chandales-vest-de-futbol|30296|Inter Miami 2026-27 Vest D26021|17.90
chandales-vest-de-futbol|30297|Holanda 2026-27 Vest D26032|17.90
chandales-vest-de-futbol|30298|Flamengo 2026-27 Vest D26024|17.90
chandales-vest-de-futbol|30295|Colombia 2026-27 Vest D26023|17.90
chandales-vest-de-futbol|30292|Colombia 2026-27 Vest D26022|17.90
chandales-vest-de-futbol|30293|Espana 2026-27 Vest D26017|17.90
chandales-vest-de-futbol|30294|Espana 2026-27 Vest D26016|17.90
chandales-vest-de-futbol|30288|Brasil 2026-27 Vest D26030|17.90
chandales-vest-de-futbol|30289|Bar,celona 2026-27 Vest D26035|17.90
chandales-vest-de-futbol|30290|Arsenal 2026-27 Vest D26025|17.90
chandales-vest-de-futbol|30291|Brasil 2026-27 Vest D26029|17.90
chandales-vest-de-futbol|30287|Brasil 2026-27 Vest D26028|17.90
la-liga-alaves|19942|Alaves 25-26 3a Equipacion Thai Camiseta|18.50
la-liga-alaves|18920|Alaves 25-26 2a Equipacion Thai Camiseta|18.50
la-liga-alaves|18919|Alaves 25-26 1a Equipacion Thai Camiseta|18.50
la-liga-albacete|21741|Albacete 25-26 2a Equipacion Thai Camiseta|18.90
la-liga-albacete|11425|Albacete 25-26 1a Equipacion Thai Camiseta|18.90
la-liga-almeria|22044|Almeria 25-26 2a Equipacion Thai Camiseta de Futbol|18.90
